,0
0,"{'label': 'NEUTRAL', 'score': 0.5295822620391846}"
1,"{'label': 'POSITIVE', 'score': 0.42632123827934265}"
2,"{'label': 'POSITIVE', 'score': 0.5236883759498596}"
3,"{'label': 'NEUTRAL', 'score': 0.4094569981098175}"
4,"{'label': 'POSITIVE', 'score': 0.4318948984146118}"
5,"{'label': 'NEUTRAL', 'score': 0.4995131492614746}"
6,"{'label': 'POSITIVE', 'score': 0.493160218000412}"
7,"{'label': 'POSITIVE', 'score': 0.6828931570053101}"
8,"{'label': 'NEUTRAL', 'score': 0.5964054465293884}"
9,"{'label': 'NEUTRAL', 'score': 0.4179705083370209}"
10,"{'label': 'NEUTRAL', 'score': 0.4536206126213074}"
11,"{'label': 'NEUTRAL', 'score': 0.5471360683441162}"
12,"{'label': 'NEUTRAL', 'score': 0.5551355481147766}"
13,"{'label': 'POSITIVE', 'score': 0.5228729844093323}"
14,"{'label': 'NEGATIVE', 'score': 0.45540493726730347}"
15,"{'label': 'NEUTRAL', 'score': 0.5761721730232239}"
16,"{'label': 'POSITIVE', 'score': 0.45427772402763367}"
17,"{'label': 'NEUTRAL', 'score': 0.5975528359413147}"
18,"{'label': 'NEUTRAL', 'score': 0.6036877036094666}"
19,"{'label': 'POSITIVE', 'score': 0.43885576725006104}"
20,"{'label': 'NEUTRAL', 'score': 0.4863400459289551}"
21,"{'label': 'NEUTRAL', 'score': 0.5024268627166748}"
22,"{'label': 'NEGATIVE', 'score': 0.6140471696853638}"
23,"{'label': 'POSITIVE', 'score': 0.42402184009552}"
24,"{'label': 'NEUTRAL', 'score': 0.46254903078079224}"
25,"{'label': 'POSITIVE', 'score': 0.6972026228904724}"
26,"{'label': 'POSITIVE', 'score': 0.5736519694328308}"
27,"{'label': 'NEUTRAL', 'score': 0.37460678815841675}"
28,"{'label': 'NEUTRAL', 'score': 0.3731783628463745}"
29,"{'label': 'POSITIVE', 'score': 0.4143470227718353}"
30,"{'label': 'POSITIVE', 'score': 0.4405781626701355}"
31,"{'label': 'POSITIVE', 'score': 0.5586836934089661}"
32,"{'label': 'NEUTRAL', 'score': 0.40447670221328735}"
33,"{'label': 'POSITIVE', 'score': 0.4927245080471039}"
34,"{'label': 'NEUTRAL', 'score': 0.5722704529762268}"
35,"{'label': 'NEUTRAL', 'score': 0.417916864156723}"
36,"{'label': 'NEGATIVE', 'score': 0.49161940813064575}"
37,"{'label': 'POSITIVE', 'score': 0.37415409088134766}"
38,"{'label': 'NEUTRAL', 'score': 0.6611707806587219}"
39,"{'label': 'NEUTRAL', 'score': 0.5895301103591919}"
40,"{'label': 'NEUTRAL', 'score': 0.6936940550804138}"
41,"{'label': 'NEUTRAL', 'score': 0.43281039595603943}"
42,"{'label': 'POSITIVE', 'score': 0.5677844882011414}"
43,"{'label': 'POSITIVE', 'score': 0.6326255202293396}"
44,"{'label': 'NEUTRAL', 'score': 0.5033527612686157}"
45,"{'label': 'NEUTRAL', 'score': 0.4414883553981781}"
46,"{'label': 'POSITIVE', 'score': 0.37470728158950806}"
47,"{'label': 'NEUTRAL', 'score': 0.3808683753013611}"
48,"{'label': 'NEGATIVE', 'score': 0.6773945689201355}"
49,"{'label': 'POSITIVE', 'score': 0.4270518720149994}"
50,"{'label': 'NEGATIVE', 'score': 0.4595257639884949}"
51,"{'label': 'NEGATIVE', 'score': 0.510378897190094}"
52,"{'label': 'NEGATIVE', 'score': 0.5518338680267334}"
53,"{'label': 'POSITIVE', 'score': 0.36411044001579285}"
54,"{'label': 'NEGATIVE', 'score': 0.4391593635082245}"
55,"{'label': 'POSITIVE', 'score': 0.3798079192638397}"
56,"{'label': 'NEGATIVE', 'score': 0.4357345402240753}"
57,"{'label': 'NEGATIVE', 'score': 0.43183937668800354}"
58,"{'label': 'POSITIVE', 'score': 0.587920606136322}"
59,"{'label': 'POSITIVE', 'score': 0.5789591670036316}"
60,"{'label': 'NEUTRAL', 'score': 0.34466737508773804}"
61,"{'label': 'NEUTRAL', 'score': 0.5822263360023499}"
62,"{'label': 'NEUTRAL', 'score': 0.3997977674007416}"
63,"{'label': 'NEGATIVE', 'score': 0.38816630840301514}"
64,"{'label': 'NEUTRAL', 'score': 0.5507245659828186}"
65,"{'label': 'NEUTRAL', 'score': 0.64286208152771}"
66,"{'label': 'NEUTRAL', 'score': 0.5975061655044556}"
67,"{'label': 'NEUTRAL', 'score': 0.7070921063423157}"
68,"{'label': 'NEUTRAL', 'score': 0.45692914724349976}"
69,"{'label': 'NEUTRAL', 'score': 0.540311336517334}"
70,"{'label': 'NEUTRAL', 'score': 0.445801705121994}"
71,"{'label': 'POSITIVE', 'score': 0.592158854007721}"
72,"{'label': 'NEUTRAL', 'score': 0.6289663910865784}"
73,"{'label': 'POSITIVE', 'score': 0.5702890753746033}"
74,"{'label': 'POSITIVE', 'score': 0.43906208872795105}"
75,"{'label': 'NEUTRAL', 'score': 0.48410773277282715}"
76,"{'label': 'POSITIVE', 'score': 0.6719862818717957}"
77,"{'label': 'POSITIVE', 'score': 0.575646162033081}"
78,"{'label': 'NEUTRAL', 'score': 0.42156097292900085}"
79,"{'label': 'POSITIVE', 'score': 0.467329204082489}"
80,"{'label': 'POSITIVE', 'score': 0.43999627232551575}"
81,"{'label': 'POSITIVE', 'score': 0.44462087750434875}"
82,"{'label': 'NEUTRAL', 'score': 0.5225942134857178}"
83,"{'label': 'NEUTRAL', 'score': 0.43963727355003357}"
84,"{'label': 'NEUTRAL', 'score': 0.4644653797149658}"
85,"{'label': 'NEUTRAL', 'score': 0.6710296869277954}"
86,"{'label': 'NEUTRAL', 'score': 0.4873822033405304}"
87,"{'label': 'NEUTRAL', 'score': 0.4325466454029083}"
88,"{'label': 'NEUTRAL', 'score': 0.5538127422332764}"
89,"{'label': 'POSITIVE', 'score': 0.5120590329170227}"
90,"{'label': 'NEUTRAL', 'score': 0.6044546961784363}"
91,"{'label': 'NEGATIVE', 'score': 0.49343591928482056}"
92,"{'label': 'NEUTRAL', 'score': 0.5794467926025391}"
93,"{'label': 'NEUTRAL', 'score': 0.5206901431083679}"
94,"{'label': 'NEUTRAL', 'score': 0.4101114273071289}"
95,"{'label': 'NEUTRAL', 'score': 0.4184069335460663}"
96,"{'label': 'NEUTRAL', 'score': 0.5435517430305481}"
97,"{'label': 'NEUTRAL', 'score': 0.5851128697395325}"
98,"{'label': 'NEUTRAL', 'score': 0.6196568012237549}"
99,"{'label': 'NEUTRAL', 'score': 0.5295822620391846}"
